Subject,Semantic_Similarity_mean,Semantic_Similarity_std,Frequency_Value_mean,Frequency_Value_std,Phonological_Similarity_mean,Phonological_Similarity_std,#_of_Items,Switch_Method,Number_of_Switches,Cluster_Size_mean,Cluster_Size_std
805.0,,,,,,,,multimodaldelta_alpha=0.30000000000000004_rise=0.75_fall=0.25,23,1.2173913043478262,0.5070392952039391
805.0,,,,,,,,multimodaldelta_alpha=0.30000000000000004_rise=0.75_fall=0.5,21,1.3333333333333333,0.7766431633476233
805.0,,,,,,,,multimodaldelta_alpha=0.30000000000000004_rise=0.75_fall=0.75,21,1.3333333333333333,0.7766431633476233
805.0,,,,,,,,multimodaldelta_alpha=0.30000000000000004_rise=0.75_fall=1.0,15,1.8666666666666667,2.246973272847029
805.0,,,,,,,,multimodaldelta_alpha=0.30000000000000004_rise=1.0_fall=0.0,23,1.2173913043478262,0.5070392952039391
805.0,,,,,,,,multimodaldelta_alpha=0.30000000000000004_rise=1.0_fall=0.25,23,1.2173913043478262,0.5070392952039391
805.0,,,,,,,,multimodaldelta_alpha=0.30000000000000004_rise=1.0_fall=0.5,21,1.3333333333333333,0.7766431633476233
805.0,,,,,,,,multimodaldelta_alpha=0.30000000000000004_rise=1.0_fall=0.75,21,1.3333333333333333,0.7766431633476233
805.0,,,,,,,,multimodaldelta_alpha=0.30000000000000004_rise=1.0_fall=1.0,15,1.8666666666666667,2.246973272847029
805.0,,,,,,,,multimodaldelta_alpha=0.4_rise=0.0_fall=0.0,14,1.8666666666666667,0.8055363982396382
805.0,,,,,,,,multimodaldelta_alpha=0.4_rise=0.0_fall=0.25,13,2.0,0.8451542547285166
805.0,,,,,,,,multimodaldelta_alpha=0.4_rise=0.0_fall=0.5,10,2.5454545454545454,1.233150906022776
805.0,,,,,,,,multimodaldelta_alpha=0.4_rise=0.0_fall=0.75,8,3.111111111111111,1.9116278371205837
805.0,,,,,,,,multimodaldelta_alpha=0.4_rise=0.0_fall=1.0,7,3.5,2.8284271247461903
805.0,,,,,,,,multimodaldelta_alpha=0.4_rise=0.25_fall=0.0,17,1.5555555555555556,0.7617394000445605
805.0,,,,,,,,multimodaldelta_alpha=0.4_rise=0.25_fall=0.25,16,1.6470588235294117,0.8360394355030527
805.0,,,,,,,,multimodaldelta_alpha=0.4_rise=0.25_fall=0.5,14,1.8666666666666667,1.1469767022723503
805.0,,,,,,,,multimodaldelta_alpha=0.4_rise=0.25_fall=0.75,10,2.5454545454545454,1.8763424945954814
805.0,,,,,,,,multimodaldelta_alpha=0.4_rise=0.25_fall=1.0,9,2.8,2.7129319932501073
805.0,,,,,,,,multimodaldelta_alpha=0.4_rise=0.5_fall=0.0,21,1.3333333333333333,0.642416074439621
805.0,,,,,,,,multimodaldelta_alpha=0.4_rise=0.5_fall=0.25,20,1.4,0.7348469228349536
805.0,,,,,,,,multimodaldelta_alpha=0.4_rise=0.5_fall=0.5,20,1.4,0.7348469228349536
805.0,,,,,,,,multimodaldelta_alpha=0.4_rise=0.5_fall=0.75,15,1.8666666666666667,1.5860503004493753
805.0,,,,,,,,multimodaldelta_alpha=0.4_rise=0.5_fall=1.0,14,2.0,2.32992949004287
805.0,,,,,,,,multimodaldelta_alpha=0.4_rise=0.75_fall=0.0,21,1.3333333333333333,0.642416074439621
805.0,,,,,,,,multimodaldelta_alpha=0.4_rise=0.75_fall=0.25,20,1.4,0.7348469228349536
805.0,,,,,,,,multimodaldelta_alpha=0.4_rise=0.75_fall=0.5,20,1.4,0.7348469228349536
805.0,,,,,,,,multimodaldelta_alpha=0.4_rise=0.75_fall=0.75,15,1.8666666666666667,1.5860503004493753
805.0,,,,,,,,multimodaldelta_alpha=0.4_rise=0.75_fall=1.0,14,2.0,2.32992949004287
805.0,,,,,,,,multimodaldelta_alpha=0.4_rise=1.0_fall=0.0,23,1.2173913043478262,0.5070392952039391
805.0,,,,,,,,multimodaldelta_alpha=0.4_rise=1.0_fall=0.25,23,1.2173913043478262,0.5070392952039391
805.0,,,,,,,,multimodaldelta_alpha=0.4_rise=1.0_fall=0.5,23,1.2173913043478262,0.5070392952039391
805.0,,,,,,,,multimodaldelta_alpha=0.4_rise=1.0_fall=0.75,18,1.5555555555555556,1.4229164972072998
805.0,,,,,,,,multimodaldelta_alpha=0.4_rise=1.0_fall=1.0,15,1.8666666666666667,2.246973272847029
805.0,,,,,,,,multimodaldelta_alpha=0.5_rise=0.0_fall=0.0,15,1.75,0.75
805.0,,,,,,,,multimodaldelta_alpha=0.5_rise=0.0_fall=0.25,15,1.75,0.75
805.0,,,,,,,,multimodaldelta_alpha=0.5_rise=0.0_fall=0.5,10,2.5454545454545454,1.4993111365882401
805.0,,,,,,,,multimodaldelta_alpha=0.5_rise=0.0_fall=0.75,7,3.5,2.8284271247461903
805.0,,,,,,,,multimodaldelta_alpha=0.5_rise=0.0_fall=1.0,7,3.5,2.8284271247461903
805.0,,,,,,,,multimodaldelta_alpha=0.5_rise=0.25_fall=0.0,17,1.5555555555555556,0.7617394000445605
805.0,,,,,,,,multimodaldelta_alpha=0.5_rise=0.25_fall=0.25,17,1.5555555555555556,0.7617394000445605
805.0,,,,,,,,multimodaldelta_alpha=0.5_rise=0.25_fall=0.5,12,2.1538461538461537,1.4058205294228512
805.0,,,,,,,,multimodaldelta_alpha=0.5_rise=0.25_fall=0.75,9,2.8,2.7129319932501073
805.0,,,,,,,,multimodaldelta_alpha=0.5_rise=0.25_fall=1.0,9,2.8,2.7129319932501073
805.0,,,,,,,,multimodaldelta_alpha=0.5_rise=0.5_fall=0.0,18,1.4736842105263157,0.7517293082676684
