Switch_Method,Switches_per_Subj_mean,Switches_per_Subj_SD,Model,Beta_Frequency_mean,Beta_Frequency_std,Beta_Semantic_mean,Beta_Semantic_std,Beta_Phonological_mean,Beta_Phonological_std
multimodaldelta_alpha=0.2_rise=0.75_fall=1.0,11.4375,4.782373234075316,forage_phonologicaldynamicglobal,5.252995250128061,2.570226195840674,4.697890568834901,2.3009109177785843,-0.17794085281416597,0.438479402791712
multimodaldelta_alpha=0.2_rise=0.75_fall=1.0,11.4375,4.782373234075316,forage_phonologicaldynamiclocal,5.375449394699552,2.583648146036472,3.9619896541562367,2.4768572459877474,0.06891042663308244,0.5162552438726528
multimodaldelta_alpha=0.2_rise=0.75_fall=1.0,11.4375,4.782373234075316,forage_phonologicaldynamicswitch,5.08910530672552,2.078716278296219,3.8300180843914022,0.7357754888367398,-1.3329343447663986,1.1775267682931108
multimodaldelta_alpha=0.2_rise=1.0_fall=0.0,15.625,5.577577879330776,forage_dynamic,5.310755082615514,2.091894447114885,4.0888687852911385,1.1085885951189915,,
multimodaldelta_alpha=0.2_rise=1.0_fall=0.0,15.625,5.577577879330776,forage_phonologicaldynamicglobal,5.330750417374603,2.5568436806985995,4.910810784683139,2.3993308809940466,-0.16343469819644624,0.4307152000058835
multimodaldelta_alpha=0.2_rise=1.0_fall=0.0,15.625,5.577577879330776,forage_phonologicaldynamiclocal,5.448074101055607,2.5738450842112854,3.5355365833664907,2.5996035003704105,0.3609454534771418,0.767036095519531
multimodaldelta_alpha=0.2_rise=1.0_fall=0.0,15.625,5.577577879330776,forage_phonologicaldynamicswitch,5.153891615403968,2.0672588153715283,4.093865369885962,1.1081333641345914,-0.5863394744773589,0.9706469898276991
multimodaldelta_alpha=0.2_rise=1.0_fall=0.25,15.4375,5.628818148599224,forage_dynamic,5.30667429359404,2.0915055288435567,4.102489688234079,1.1046303726717193,,
multimodaldelta_alpha=0.2_rise=1.0_fall=0.25,15.4375,5.628818148599224,forage_phonologicaldynamicglobal,5.325610686881379,2.556667591237225,4.928754043361075,2.3973073875124227,-0.16669191462317728,0.4436588945733342
multimodaldelta_alpha=0.2_rise=1.0_fall=0.25,15.4375,5.628818148599224,forage_phonologicaldynamiclocal,5.4454096873303035,2.574979914053623,3.5673362974552774,2.6066459066560372,0.35492264253315775,0.7775902443205625
multimodaldelta_alpha=0.2_rise=1.0_fall=0.25,15.4375,5.628818148599224,forage_phonologicaldynamicswitch,5.143728652437071,2.065735728541175,4.107462595873661,1.1045170896192043,-0.811707966052418,1.0605771248921974
multimodaldelta_alpha=0.2_rise=1.0_fall=0.5,14.78125,5.671939565748211,forage_dynamic,5.274408883990538,2.0927241316468224,4.034896241676101,1.1064276718179862,,
multimodaldelta_alpha=0.2_rise=1.0_fall=0.5,14.78125,5.671939565748211,forage_phonologicaldynamicglobal,5.291899760840169,2.5598488063943576,4.8701656344477815,2.421341869231991,-0.16795134656924351,0.43963196685897343
multimodaldelta_alpha=0.2_rise=1.0_fall=0.5,14.78125,5.671939565748211,forage_phonologicaldynamiclocal,5.414903947671889,2.5762504612446877,3.6054428660958893,2.58466807532858,0.31236610099841366,0.7081688984029444
multimodaldelta_alpha=0.2_rise=1.0_fall=0.5,14.78125,5.671939565748211,forage_phonologicaldynamicswitch,5.110311543140936,2.0678345267835017,4.040741240303939,1.1060302371184176,-0.8372902224819277,1.0682792102681833
multimodaldelta_alpha=0.2_rise=1.0_fall=0.75,13.5625,5.67856440924993,forage_dynamic,5.245005147740787,2.0857855393614333,3.9478475597088623,1.0756684861132433,,
multimodaldelta_alpha=0.2_rise=1.0_fall=0.75,13.5625,5.67856440924993,forage_phonologicaldynamicglobal,5.256763022394393,2.5570892421500617,4.776445075078966,2.4041299851280273,-0.16982999121259212,0.430191735904318
multimodaldelta_alpha=0.2_rise=1.0_fall=0.75,13.5625,5.67856440924993,forage_phonologicaldynamiclocal,5.37237692795311,2.5725958796577357,3.7212400315737706,2.5956702919340424,0.25929174195430765,0.7450502717257234
multimodaldelta_alpha=0.2_rise=1.0_fall=0.75,13.5625,5.67856440924993,forage_phonologicaldynamicswitch,5.09295751729364,2.063279604569382,3.9530092857576893,1.075751947388441,-0.9791227243035413,1.1715604575062155
multimodaldelta_alpha=0.2_rise=1.0_fall=1.0,12.53125,5.442795553527617,forage_dynamic,5.23812335721376,2.0909881636474377,3.9162301170716587,1.0369880544665682,,
multimodaldelta_alpha=0.2_rise=1.0_fall=1.0,12.53125,5.442795553527617,forage_phonologicaldynamicglobal,5.247517069129969,2.5618298214760418,4.76715580448917,2.396396717065816,-0.17626021564552133,0.44231803455683844
multimodaldelta_alpha=0.2_rise=1.0_fall=1.0,12.53125,5.442795553527617,forage_phonologicaldynamiclocal,5.3678804449924025,2.576571211751626,3.8910588581541714,2.552533418518192,0.16271400936466912,0.6313539906931839
