Subject,Model,Beta_Frequency,Beta_Semantic,Beta_Phonological,Negative_Log_Likelihood_Optimized
805,forage_dynamic_delta_rise=0.25_fall=1.0,8.275747931658712,3.8635292746762526,,158.4756663787045
805,forage_dynamic_delta_rise=0.5_fall=0.0,8.514994554711487,4.445335960177925,,159.22348569742476
805,forage_dynamic_delta_rise=0.5_fall=0.25,8.43826906432701,4.37381015346362,,158.63644916124122
805,forage_dynamic_delta_rise=0.5_fall=0.5,8.377268179050171,4.285104613104462,,158.32846199067464
805,forage_dynamic_delta_rise=0.5_fall=0.75,8.373911360345161,4.16373782039353,,157.64344986531898
805,forage_dynamic_delta_rise=0.5_fall=1.0,8.373912367265254,4.163738214824112,,157.6434498653115
805,forage_dynamic_delta_rise=0.75_fall=0.0,8.524396424492254,4.6857423390451975,,159.92806598785094
805,forage_dynamic_delta_rise=0.75_fall=0.25,8.445029132430774,4.580761986027087,,159.38664515321105
805,forage_dynamic_delta_rise=0.75_fall=0.5,8.382017213995281,4.462542698035434,,159.12773432672827
805,forage_dynamic_delta_rise=0.75_fall=0.75,8.379015658009706,4.304185071037258,,158.50091182955518
805,forage_dynamic_delta_rise=0.75_fall=1.0,8.379004549849935,4.304183396189706,,158.50091182960628
805,forage_dynamic_delta_rise=1.0_fall=0.0,8.402331336382684,4.512983904704285,,164.6924364339614
805,forage_dynamic_delta_rise=1.0_fall=0.25,8.333380595343138,4.398672491951422,,164.10788800643786
805,forage_dynamic_delta_rise=1.0_fall=0.5,8.405686942971174,4.472598998834961,,160.16290444357253
805,forage_dynamic_delta_rise=1.0_fall=0.75,8.403522968849787,4.300756907665283,,159.53743991836382
805,forage_dynamic_delta_rise=1.0_fall=1.0,8.403514456519952,4.3007541477021,,159.53743991836245
805,forage_phonologicalstatic,8.097737399517158,3.844107171112945,-0.053928072147690034,155.61388585197864
805,forage_phonologicaldynamicglobal_simdrop,8.190600066035408,4.386571185261455,-0.05368420517050334,156.98350711203992
805,forage_phonologicaldynamiclocal_simdrop,8.20862025546005,4.450060391635935,-0.06482143241433906,157.01048158555616
805,forage_phonologicaldynamicswitch_simdrop,8.261715548662307,4.087150192484047,-0.03308923227431432,157.35620413135084
805,forage_phonologicaldynamicglobal_multimodal_alpha=0.0,8.080851463461467,3.7000689533466105,-0.046232788884101275,157.8739096505487
805,forage_phonologicaldynamiclocal_multimodal_alpha=0.0,8.095492065989964,3.6579009776900833,-0.037550258035411864,157.99446084980445
805,forage_phonologicaldynamicswitch_multimodal_alpha=0.0,8.176815705236956,3.4786937562352525,-1.9739749773125679,157.66226207617171
805,forage_phonologicaldynamicglobal_multimodal_alpha=0.1,8.198066446646344,4.02353954490427,-0.041801305989245606,159.88179234436922
805,forage_phonologicaldynamiclocal_multimodal_alpha=0.1,8.303033714311454,3.6696830186658875,0.027289693655840264,160.07030830581752
805,forage_phonologicaldynamicswitch_multimodal_alpha=0.1,8.18918282696536,3.8084323998316845,-0.23315841298559484,158.2680228399622
805,forage_phonologicaldynamicglobal_multimodal_alpha=0.2,8.198066135662888,4.023538272468511,-0.04180127076916361,159.88179234436794
805,forage_phonologicaldynamiclocal_multimodal_alpha=0.2,8.303027421464334,3.669683784295666,0.027289611719484425,160.07030830582227
805,forage_phonologicaldynamicswitch_multimodal_alpha=0.2,8.189168698826085,3.808429237930486,-0.23315832950584917,158.2680228399607
805,forage_phonologicaldynamicglobal_multimodal_alpha=0.30000000000000004,8.198061077440443,4.023540075370705,-0.041801361825435576,159.88179234436674
805,forage_phonologicaldynamiclocal_multimodal_alpha=0.30000000000000004,8.303033452029524,3.6696807086880057,0.02728979329286602,160.07030830581752
805,forage_phonologicaldynamicswitch_multimodal_alpha=0.30000000000000004,8.189177126847985,3.8084298750319294,-0.23315821216302907,158.26802283994175
