animals,occupations,things at the beach,things in a classroom,things you rescue from a burning home,excuses for being late
0.03928874,0.041275498,0.019477105,0.012545179,0.012905224,0.04688897
0.059792116,-0.03646844,0.004766309,-0.021389969,-0.022368524,0.045515973
-0.082072996,-0.021059185,-0.067990474,-0.037289713,0.070134446,0.015757432
-0.051005125,-0.008320601,-0.014966851,-0.050122455,0.021061122,0.06569239
-0.027998768,-0.01927849,0.021030178,-0.04035471,-0.06619362,0.017939283
-0.043739878,-0.055898536,0.061070476,-0.027799003,0.05487893,-0.021756083
-0.0048740157,0.036931027,0.043169666,0.0051225647,0.006746741,-0.02276151
-0.025771393,-0.005716435,-0.0425819,-0.011585424,0.011445419,-0.057704918
0.044809435,0.05167249,-0.072495826,-0.007192397,0.015412259,0.0060639377
-0.008100165,-0.06003768,0.015863307,-0.006609718,-0.04528104,0.03157018
-0.0031608315,-0.061144564,4.605258e-05,-0.023374585,-0.03143258,0.040136885
-0.027678054,-0.033967797,-0.046111178,-0.04019151,-0.02286382,-0.033855427
0.00047110266,0.01799218,-0.010579945,-0.085842825,0.06035423,0.052767284
-0.0031906131,0.032407932,0.043894902,0.0633135,-0.07307772,-0.05135328
0.087466575,-0.07461597,0.048223145,0.016811566,-0.01409891,0.012506184
-0.00017611941,-0.052318234,0.0026266815,-0.018054182,-0.0038471685,-0.058713783
-0.018712109,0.0043565608,-0.05807692,-0.059469223,-0.048747662,0.024478586
-0.03727243,0.025076577,-0.026998103,-0.052761238,-0.015708972,-0.020840768
0.087464936,0.08937736,-0.031169187,-0.07759185,-0.058972023,-0.009173279
0.036164362,-0.08458007,0.036886323,0.03348306,-0.007939122,0.058818568
-0.04449499,-0.06072984,-0.02929674,0.037031375,0.0384395,0.0030174963
-0.00837163,-0.028160125,0.028770566,0.02146577,0.06543908,-0.022991998
-0.044106532,0.026067449,-0.025798213,0.04119761,-0.019583099,0.010885986
0.0035407688,-0.033665877,-0.031830613,-0.010136909,-0.022959998,0.03531893
-0.04318967,-0.018898819,-0.035479393,-0.04016969,0.0074552875,-0.009585114
0.0072492356,-0.065482266,0.0804244,-0.0036134343,0.03684204,0.056706566
