Model,k
forage_dynamic_multimodaldelta_alpha=0.8_rise=1.0_fall=0.0,5
forage_dynamic_multimodaldelta_alpha=0.8_rise=1.0_fall=0.25,5
forage_dynamic_multimodaldelta_alpha=0.8_rise=1.0_fall=0.5,5
forage_dynamic_multimodaldelta_alpha=0.8_rise=1.0_fall=0.75,5
forage_dynamic_multimodaldelta_alpha=0.8_rise=1.0_fall=1.0,5
forage_dynamic_multimodaldelta_alpha=0.9_rise=0.0_fall=0.0,5
forage_dynamic_multimodaldelta_alpha=0.9_rise=0.0_fall=0.25,5
forage_dynamic_multimodaldelta_alpha=0.9_rise=0.0_fall=0.5,5
forage_dynamic_multimodaldelta_alpha=0.9_rise=0.0_fall=0.75,5
forage_dynamic_multimodaldelta_alpha=0.9_rise=0.0_fall=1.0,5
forage_dynamic_multimodaldelta_alpha=0.9_rise=0.25_fall=0.0,5
forage_dynamic_multimodaldelta_alpha=0.9_rise=0.25_fall=0.25,5
forage_dynamic_multimodaldelta_alpha=0.9_rise=0.25_fall=0.5,5
forage_dynamic_multimodaldelta_alpha=0.9_rise=0.25_fall=0.75,5
forage_dynamic_multimodaldelta_alpha=0.9_rise=0.25_fall=1.0,5
forage_dynamic_multimodaldelta_alpha=0.9_rise=0.5_fall=0.0,5
forage_dynamic_multimodaldelta_alpha=0.9_rise=0.5_fall=0.25,5
forage_dynamic_multimodaldelta_alpha=0.9_rise=0.5_fall=0.5,5
forage_dynamic_multimodaldelta_alpha=0.9_rise=0.5_fall=0.75,5
forage_dynamic_multimodaldelta_alpha=0.9_rise=0.5_fall=1.0,5
forage_dynamic_multimodaldelta_alpha=0.9_rise=0.75_fall=0.0,5
forage_dynamic_multimodaldelta_alpha=0.9_rise=0.75_fall=0.25,5
forage_dynamic_multimodaldelta_alpha=0.9_rise=0.75_fall=0.5,5
forage_dynamic_multimodaldelta_alpha=0.9_rise=0.75_fall=0.75,5
forage_dynamic_multimodaldelta_alpha=0.9_rise=0.75_fall=1.0,5
forage_dynamic_multimodaldelta_alpha=0.9_rise=1.0_fall=0.0,5
forage_dynamic_multimodaldelta_alpha=0.9_rise=1.0_fall=0.25,5
forage_dynamic_multimodaldelta_alpha=0.9_rise=1.0_fall=0.5,5
forage_dynamic_multimodaldelta_alpha=0.9_rise=1.0_fall=0.75,5
forage_dynamic_multimodaldelta_alpha=0.9_rise=1.0_fall=1.0,5
forage_dynamic_multimodaldelta_alpha=1.0_rise=0.0_fall=0.0,5
forage_dynamic_multimodaldelta_alpha=1.0_rise=0.0_fall=0.25,5
forage_dynamic_multimodaldelta_alpha=1.0_rise=0.0_fall=0.5,5
forage_dynamic_multimodaldelta_alpha=1.0_rise=0.0_fall=0.75,5
forage_dynamic_multimodaldelta_alpha=1.0_rise=0.0_fall=1.0,5
forage_dynamic_multimodaldelta_alpha=1.0_rise=0.25_fall=0.0,5
forage_dynamic_multimodaldelta_alpha=1.0_rise=0.25_fall=0.25,5
forage_dynamic_multimodaldelta_alpha=1.0_rise=0.25_fall=0.5,5
forage_dynamic_multimodaldelta_alpha=1.0_rise=0.25_fall=0.75,5
forage_dynamic_multimodaldelta_alpha=1.0_rise=0.25_fall=1.0,5
forage_dynamic_multimodaldelta_alpha=1.0_rise=0.5_fall=0.0,5
