Switch_Method,Switches_per_Subj_mean,Switches_per_Subj_SD,Model,Beta_Frequency_mean,Beta_Frequency_std,Beta_Semantic_mean,Beta_Semantic_std,Beta_Phonological_mean,Beta_Phonological_std
delta_rise=0.25_fall=0.0,11.239583333333334,3.1663753977888067,forage_phonologicaldynamiclocal,7.93760524290829,2.0786582784179672,5.994836458794531,1.692184921597777,-0.28771313552732153,0.5129548185432791
delta_rise=0.25_fall=0.0,11.239583333333334,3.1663753977888067,forage_phonologicaldynamicswitch,7.9383469713483,2.0610994483306655,4.54947086387715,0.5526067394026651,-0.05640407987174339,0.3046795658810119
delta_rise=0.25_fall=0.25,10.567708333333334,3.1033582210669604,forage_dynamic,7.926931991957538,2.042890984657903,4.513012281075609,0.5653153051434096,,
delta_rise=0.25_fall=0.25,10.567708333333334,3.1033582210669604,forage_phonologicaldynamicglobal,7.822993652582897,2.027581151017999,5.124598241789623,0.9120742874796491,-0.09426068851812397,0.09522230627389637
delta_rise=0.25_fall=0.25,10.567708333333334,3.1033582210669604,forage_phonologicaldynamiclocal,7.906414035448176,2.0564076541452185,5.872494505461191,1.613898219527401,-0.28090749570404566,0.5300525315643757
delta_rise=0.25_fall=0.25,10.567708333333334,3.1033582210669604,forage_phonologicaldynamicswitch,7.911301771569047,2.043998143545016,4.513398689264974,0.5651621209424013,-0.0584969660596674,0.2906782596001218
delta_rise=0.25_fall=0.5,9.776041666666666,3.0715171601230806,forage_dynamic,7.897681620525933,2.036406811235133,4.460134990318179,0.5688773456266919,,
delta_rise=0.25_fall=0.5,9.776041666666666,3.0715171601230806,forage_phonologicaldynamicglobal,7.788382961125785,2.0204160045260178,5.092840569858421,0.9353991908684463,-0.09823036084432236,0.09685346319622926
delta_rise=0.25_fall=0.5,9.776041666666666,3.0715171601230806,forage_phonologicaldynamiclocal,7.863534908196699,2.042655003408059,5.7600498979908545,1.5694897252823976,-0.25892414493695054,0.46764113185793893
delta_rise=0.25_fall=0.5,9.776041666666666,3.0715171601230806,forage_phonologicaldynamicswitch,7.881357382115145,2.0390284946300135,4.460643975832912,0.5688427151821283,-0.09704396936360472,0.4408702240237451
