Subject,Semantic_Similarity_mean,Semantic_Similarity_std,Frequency_Value_mean,Frequency_Value_std,Phonological_Similarity_mean,Phonological_Similarity_std,#_of_Items,Switch_Method,Number_of_Switches,Cluster_Size_mean,Cluster_Size_std
6.0,,,,,,,,delta_rise=1.0_fall=0.5,18,1.368421052631579,0.6657426652986062
6.0,,,,,,,,delta_rise=1.0_fall=0.75,14,1.7333333333333334,1.5260697523012796
6.0,,,,,,,,delta_rise=1.0_fall=1.0,12,2.0,1.7097008285302207
6.0,,,,,,,,multimodal_alpha=0.0,3,6.5,3.5
6.0,,,,,,,,multimodal_alpha=0.1,7,3.25,1.1989578808281798
6.0,,,,,,,,multimodal_alpha=0.2,7,3.25,1.1989578808281798
6.0,,,,,,,,multimodal_alpha=0.30000000000000004,7,3.25,0.9682458365518543
6.0,,,,,,,,multimodal_alpha=0.4,7,3.25,0.9682458365518543
6.0,,,,,,,,multimodal_alpha=0.5,8,2.888888888888889,0.7370277311900889
6.0,,,,,,,,multimodal_alpha=0.6000000000000001,9,2.6,0.66332495807108
6.0,,,,,,,,multimodal_alpha=0.7000000000000001,9,2.6,0.66332495807108
6.0,,,,,,,,multimodal_alpha=0.8,9,2.6,0.66332495807108
6.0,,,,,,,,multimodal_alpha=0.9,7,3.25,1.0897247358851685
6.0,,,,,,,,multimodal_alpha=1.0,7,3.25,0.82915619758885
6.0,,,,,,,,norms_associative,8,2.888888888888889,2.078698548207745
6.0,,,,,,,,norms_categorical,9,2.6,1.4966629547095764
6.0,,,,,,,,simdrop,7,3.25,0.82915619758885
7.0,0.41374026305968975,0.10124289796045957,6.056636206464722,0.8919970502440906,0.22679999999999997,0.1407579810553179,26.0,delta_rise=0.0_fall=0.0,14,1.7333333333333334,0.5734883511361751
7.0,,,,,,,,delta_rise=0.0_fall=0.25,13,1.8571428571428572,0.832993127835043
7.0,,,,,,,,delta_rise=0.0_fall=0.5,11,2.1666666666666665,1.2133516482134197
7.0,,,,,,,,delta_rise=0.0_fall=0.75,9,2.6,1.7435595774162693
7.0,,,,,,,,delta_rise=0.0_fall=1.0,8,2.888888888888889,1.9116278371205837
7.0,,,,,,,,delta_rise=0.25_fall=0.0,15,1.625,0.5994789404140899
7.0,,,,,,,,delta_rise=0.25_fall=0.25,14,1.7333333333333334,0.8537498983243799
7.0,,,,,,,,delta_rise=0.25_fall=0.5,12,2.0,1.2403473458920846
7.0,,,,,,,,delta_rise=0.25_fall=0.75,11,2.1666666666666665,1.404358295529393
7.0,,,,,,,,delta_rise=0.25_fall=1.0,10,2.3636363636363638,1.610913195151759
7.0,,,,,,,,delta_rise=0.5_fall=0.0,16,1.625,0.5994789404140899
7.0,,,,,,,,delta_rise=0.5_fall=0.25,15,1.7333333333333334,0.8537498983243799
7.0,,,,,,,,delta_rise=0.5_fall=0.5,13,2.0,1.2403473458920846
7.0,,,,,,,,delta_rise=0.5_fall=0.75,12,2.1666666666666665,1.404358295529393
7.0,,,,,,,,delta_rise=0.5_fall=1.0,11,2.3636363636363638,1.610913195151759
7.0,,,,,,,,delta_rise=0.75_fall=0.0,16,1.625,0.5994789404140899
7.0,,,,,,,,delta_rise=0.75_fall=0.25,15,1.7333333333333334,0.8537498983243799
7.0,,,,,,,,delta_rise=0.75_fall=0.5,13,2.0,1.2403473458920846
7.0,,,,,,,,delta_rise=0.75_fall=0.75,12,2.1666666666666665,1.404358295529393
7.0,,,,,,,,delta_rise=0.75_fall=1.0,11,2.3636363636363638,1.610913195151759
7.0,,,,,,,,delta_rise=1.0_fall=0.0,16,1.625,0.5994789404140899
7.0,,,,,,,,delta_rise=1.0_fall=0.25,15,1.7333333333333334,0.8537498983243799
7.0,,,,,,,,delta_rise=1.0_fall=0.5,13,2.0,1.2403473458920846
