"word","distance_to_centroid","distance_to_domain","distance_to_first_item","Subject"
"pig",0.789884806989972,1.1056965981979,1.13443347961463,811
"cow",0.738279824404271,1.03939429814665,1.09168260987294,811
"donkey",0.698292535397422,1.08371708158835,1.10074331101084,811
"horse",0.728963738809455,0.965888696108949,1.04855377951903,811
"monkey",0.677075027983485,1.07765782046529,1.12179124466286,811
"orangutan",0.71593836658592,1.17108604624696,1.15846801844485,811
"chimpanzee",0.68889607232116,1.08717052779837,1.09943601184959,811
"lion",0.765513979033388,1.05855193950452,1.1661985360487,811
"zebra",0.769411204748005,1.11765828858977,1.1194923324341,811
"gazelle",0.811777526978467,1.22821881686673,1.13563295405026,811
"cat",0.798510250260647,1.01920890619539,0,812
"dog",0.782155901964867,0.926940359120858,0.867457595158494,812
"snake",0.686650946254962,1.10865295182169,1.05716809941006,812
"corn snake",0.805370891962367,1.21708686715056,1.21254891504614,812
"boa",0.841960810238215,1.20923150678267,1.22113392817485,812
"anaconda",0.793604170976073,1.23400377287013,1.24977534689919,812
"human",0.87981147003166,1.00013231519785,1.02874957572005,812
"manatee",0.782294688284645,1.16357463908658,1.16776485323007,812
"sperm whale",0.79950724300208,1.19385701361933,1.21571780329969,812
"blue whale",0.830208846186968,1.18039054339547,1.13955490883592,812
"killer whale",0.776746524244284,1.16854122686492,1.14133569017221,812
"frog",0.734996018326485,1.09311266529606,1.05377036144737,812
"treefrog",0.827474343065892,1.27954870409889,1.25484916604695,812
"toad",0.792066309653447,1.20527216386212,1.19210285888983,812
"horned toad",0.823601979268817,1.22498957787325,1.28059988939361,812
"salamander",0.768638772830632,1.18879501552329,1.18423891167965,812
"crawdad",0.82904526321709,1.29478269975113,1.18794850092959,812
"clownfish",0.82109197191392,1.19877868079066,1.24441676885773,812
"guppy",0.816870076190352,1.22303391042445,1.15220819261148,812
"goldfish",0.817480044033843,1.06808974496028,1.13267603787276,812
"parrot",0.827401449205534,1.1556004162,1.11256231970562,812
"anaconda",0.793604170976073,1.23400377287013,1.24977534689919,812
"coral",0.872668052456492,1.23244155818024,1.21190053359316,812
"rabbit",0.771395581143032,1.04671233415507,0.986053177081525,812
"deer",0.83073239762018,1.06700221239762,1.13658827631235,812
"dog",0.744441641221489,0.926940359120858,0,813
"gopher",0.857199086423668,1.22079710953646,1.21039144545172,813
"cat",0.749855385592657,1.01920890619539,0.867457595158494,813
"lion",0.743569536095089,1.05855193950452,1.09555253396067,813
"tiger",0.793859846464634,1.13699789913431,1.11649752645681,813
"platypus",0.81058195799821,1.17150547090275,1.19565563746138,813
"walrus",0.767806662003643,1.19558220880476,1.18344811469104,813
"dolphin",0.805859093959015,1.14812093430291,1.16095531211422,813
"parrot",0.793549346082953,1.1556004162,1.09334945637094,813
"parakeet",0.835932887208304,1.1946089193589,1.12171325978222,813
"spider",0.764219853055557,1.17267982481853,1.07483080059683,813
"lion",0.743569536095089,1.05855193950452,1.09555253396067,813
"fish",0.779564970520401,0.98859879554237,0.991729370751397,813
"snake",0.747408707347983,1.10865295182169,1.04570627686665,813
"stingray",0.83588403209537,1.22149222059251,1.17353680591612,813
"mantis",0.857316059931657,1.27640854188245,1.22207436557641,813
"butterfly",0.818754416895003,1.17392380856495,1.10796020026342,813
"ant",0.785714176654407,1.18589992980761,1.12090654357064,813
"fire ant",0.870172009043237,1.20809821999854,1.219535906525,813
"cat",0.766665767713111,1.01920890619539,0,814
"dog",0.776302722713922,0.926940359120858,0.867457595158494,814
"snake",0.776013074498239,1.10865295182169,1.05716809941006,814
"lizard",0.806681719665119,1.15827964655824,1.12781263326051,814
"ostrich",0.789343813473477,1.22836893673411,1.18377296066624,814
"goldfish",0.823407591825875,1.06808974496028,1.13267603787276,814
"koi fish",0.847434837556243,1.11874501740128,1.17928834483849,814
"lion",0.77242661203898,1.05855193950452,1.05198879526451,814
"tiger",0.761765916290063,1.13699789913431,1.02701213766712,814
"bear",0.750100451472817,1.12388948326659,1.05355914921225,814
"panda",0.807180701113455,1.14953149364335,1.13323148485296,814
"polar bear",0.741794182620166,1.16102285916568,1.13058062625004,814
"grizzly bear",0.751484670786639,1.14143784847236,1.17891312963934,814
"jellyfish",0.868327292000328,1.16127957600804,1.19820603840663,814
"sunfish",0.780812605773399,1.19724985502604,1.20058265576996,814
"bluegill",0.843213881715662,1.25691282615943,1.23335250842285,814
"kangaroo",0.769471002602674,1.11054092420269,1.12815262010473,814
"flamingo",0.8160278953281,1.20073936665349,1.18003143365603,814
"penguin",0.73287875729623,1.15620002078011,1.09431074790964,814
"squirrel",0.789000862726351,1.1857650114949,1.09228534730863,814
"chipmunk",0.794298918238838,1.14683035711037,1.12329340061911,814
"bluebird",0.799422403107161,1.17305194938537,1.19582667333648,814
"robin",0.849799091094965,1.24983935986938,1.17702593247744,814
"dog",0.741524208695596,0.926940359120858,0,815
"cat",0.730213253923365,1.01920890619539,0.867457595158494,815
"squirrel",0.731347691026016,1.1857650114949,1.1451519891576,815
"ferret",0.785606194067858,1.15848646747173,1.10725467719149,815
"tiger",0.759585718740594,1.13699789913431,1.11649752645681,815
"lion",0.75739977040851,1.05855193950452,1.09555253396067,815
"zebra",0.796138114832859,1.11765828858977,1.16176651615411,815
"giraffe",0.8026949741416,1.18844274658855,1.1766182122444,815
"rhino",0.795839552076571,1.18483103768089,1.2113231152707,815
"crocodile",0.800547843796291,1.14277096325739,1.10561877282043,815
"hamster",0.775114356318282,1.09038119952137,1.03307469530268,815
"rat",0.723061599201201,1.07995102832886,1.00412039494565,815
"flamingo",0.822694843223677,1.20073936665349,1.16838665448443,815
"deer",0.800196462228862,1.06700221239762,1.06696015999775,815
"bull",0.841256550630281,1.15566818750897,1.10637785319266,815
"bird",0.737837440262151,1.07379314834099,1.01009507359507,815
"squirrel",0.731347691026016,1.1857650114949,1.1451519891576,815
"raccoon",0.804900733544003,1.16925510079619,1.18511234830246,815
"monkey",0.742910995334763,1.07765782046529,1.02394317171624,815
"gorilla",0.774345029551122,1.11245245959525,1.11311897594554,815
"gerbil",0.785234470945146,1.1190891012329,1.06847284925107,815
"cat",0.773301498917205,1.01920890619539,0,816
"dog",0.778343978369961,0.926940359120858,0.867457595158494,816
"skunk",0.840796243749666,1.17735568001305,1.17318011307183,816
"horse",0.766011682129632,0.965888696108949,0.958066607342226,816
"cow",0.795809757080361,1.03939429814665,1.05862459059943,816
"bird",0.705131233310248,1.07379314834099,0.998394950185039,816
"toucan",0.854705246837744,1.26095605853567,1.24839551235423,816
"parakeet",0.807200764887694,1.1946089193589,1.13309593950469,816
"penguin",0.723570214062362,1.15620002078011,1.09431074790964,816
"seal",0.83100405877136,1.20738285987118,1.226261689896,816
"polar bear",0.788194152295187,1.16102285916568,1.13058062625004,816
"stork",0.905554849088754,1.29272612716265,1.30339935559632,816
"albatross",0.79283478400503,1.23097346194037,1.22555315654034,816
"whale",0.756524317606261,1.143048159231,1.10235163517106,816
"killer whale",0.754976168691253,1.16854122686492,1.14133569017221,816
"narwhal",0.768542774827592,1.16632408944374,1.13419676564301,816
"sea lion",0.768826686266268,1.10739831907327,1.16893166484572,816
"lion",0.753262829819802,1.05855193950452,1.05198879526451,816
"tiger",0.767375161947151,1.13699789913431,1.02701213766712,816
"gorilla",0.756339064577117,1.11245245959525,1.16565787368717,816
"monkey",0.755004876034991,1.07765782046529,1.0166223194662,816
"ape",0.8103482530647,1.156598483866,1.17036482827735,816
"pelican",0.802276957115084,1.16326890343458,1.23113728060402,816
"flamingo",0.787653564098243,1.20073936665349,1.18003143365603,816
"dolphin",0.822092549586952,1.14812093430291,0,818
"alligator",0.778877521046293,1.17218049712303,1.07977337808102,818
"shark",0.73599504807185,1.18051224038711,1.08969068005088,818
"scorpion",0.830504853518215,1.21413020439407,1.22683340314883,818
"fish",0.78397134839852,0.98859879554237,1.06660901205378,818
"lion",0.795335410347195,1.05855193950452,1.17853094684985,818
"ram",0.8712814047459,1.1975310995479,1.20021857764627,818
"goat",0.819884688773115,1.08472378545158,1.1423904422895,818
"raven",0.848594584820341,1.24063038997202,1.21329029259203,818
"weasel",0.813291534993946,1.25885741375855,1.25956873118805,818
"beaver",0.821471961240299,1.17642596565355,1.1903430761263,818
"snake",0.772135202201967,1.10865295182169,1.14746841162665,818
"snow goose",0.852578339846264,1.25066613111499,1.2488230265016,818
"ant",0.809018203501546,1.18589992980761,1.1193120586423,818
"beetle",0.783235357248657,1.21702995763416,1.2461660110184,818
"wasp",0.793733669694392,1.22894322981949,1.27689433898612,818
"fly",0.804613362883215,1.185276732661,1.19912969962649,818
"dragonfly",0.784087555366024,1.22603351038703,1.24690701195125,818
"lightning bug",0.855254879576149,1.30337916875101,1.26279965388547,818
"whale",0.778228652343972,1.143048159231,1.03918586098768,818
"dog",0.690864095265452,0.926940359120858,0,819
"pig",0.775386088734953,1.1056965981979,1.04714921396337,819
"cow",0.750802747347479,1.03939429814665,1.04145565319362,819
"horse",0.678850920684955,0.965888696108949,0.899299490539192,819
"sheep",0.835308598775656,1.07674053126268,1.12137023053543,819
"bird",0.720061656177163,1.07379314834099,1.01009507359507,819
"shark",0.772537751368567,1.18051224038711,1.0906027082874,819
"fish",0.704644142353853,0.98859879554237,0.991729370751397,819
"bear",0.779435399980486,1.12388948326659,1.03308931617168,819
"lion",0.768212746080696,1.05855193950452,1.09555253396067,819
"tiger",0.770027932828111,1.13699789913431,1.11649752645681,819
"canary",0.84636268787951,1.19541719321321,1.16801244173706,819
"ant",0.831840201625023,1.18589992980761,1.12090654357064,819
"ladybug",0.909020650178057,1.24070408417798,1.17068221410175,819
"fish",0.704644142353853,0.98859879554237,0.991729370751397,819
"cat",0.695728035473302,1.01920890619539,0.867457595158494,819
"eagle",0.790740595197212,1.17344117800103,1.12579073078095,819
"falcon",0.844246449260903,1.23281064372965,1.18255704092234,819
"pig",0.773867067557948,1.1056965981979,0,820
"horse",0.696855675076379,0.965888696108949,1.03263848025411,820
"cow",0.746639567843147,1.03939429814665,0.992912678129189,820
"bird",0.770977228612447,1.07379314834099,1.17066025152139,820
"sheep",0.81101873173249,1.07674053126268,1.0633908367128,820
"lamb",0.81438736648446,1.13880384013632,1.08107975302547,820
"fish",0.752406604378583,0.98859879554237,1.11042649912438,820
"dog",0.735746684422265,0.926940359120858,1.04714921396337,820
"cat",0.738669510580084,1.01920890619539,1.02566879138511,820
"monkey",0.728390807660566,1.07765782046529,1.05096306206956,820
"bear",0.799984835817449,1.12388948326659,1.14048423509613,820
"tiger",0.762826160118342,1.13699789913431,1.10093160968611,820
"jaguar",0.824972043566678,1.22303102406277,1.1654512771658,820
"leopard",0.785739681136091,1.13797163209713,1.09819889855898,820
"lion",0.72176547161008,1.05855193950452,1.15244990899264,820
"hippo",0.802370864628364,1.15746428721802,1.11047074941264,820
"hyena",0.830450674671896,1.11958025880767,1.22089197425021,820
"snake",0.789557175996794,1.10865295182169,1.12766557740554,820
"bird",0.770977228612447,1.07379314834099,1.17066025152139,820
"ostrich",0.804967257574044,1.22836893673411,1.15250615079392,820
"shrimp",0.861055524714727,1.21639049815389,1.16830676122297,820
"crab",0.832361933160126,1.21016342559086,1.21133361679889,820
"lobster",0.878866778437333,1.23174696520555,1.22123933174817,820
"horse",0.696855675076379,0.965888696108949,1.03263848025411,820
"llama",0.77412997842596,1.1520927992141,1.13027102605131,820
"alpaca",0.826141382842593,1.17494183822496,1.19664790850499,820
"camel",0.80957181634999,1.1599943725029,1.08532082900331,820
"cheetah",0.77484947284947,1.1395872374058,1.12424246757325,820
"lion",0.72176547161008,1.05855193950452,1.15244990899264,820
"ape",0.82378234596671,1.156598483866,1.10649044062043,820
"monkey",0.728390807660566,1.07765782046529,1.05096306206956,820
"cow",0.741058298443731,1.03939429814665,0,821
"pig",0.737446641335569,1.1056965981979,0.992912678129189,821
"dog",0.70480239483954,0.926940359120858,1.04145565319362,821
"horse",0.662556222232292,0.965888696108949,0.944755506761795,821
"cat",0.70678027631473,1.01920890619539,1.05862459059943,821
"sheep",0.782721444106826,1.07674053126268,1.01110734498841,821
"rabbit",0.740378470474398,1.04671233415507,1.10070779253015,821
"muskrat",0.765912970709284,1.17414527403126,1.11050055203603,821
"catfish",0.810436858928192,1.12634328036673,1.15075867124039,821
"goldfish",0.82288509155603,1.06808974496028,1.15537201236564,821
"bull",0.807038698560631,1.15566818750897,0.922101394012814,821
"goat",0.763584169020085,1.08472378545158,1.05233524749186,821
"mouse",0.766959363546553,1.10481593397117,1.1236854647072,821
"rat",0.6763466478141,1.07995102832886,1.09668285854152,821
"ant",0.832293503339295,1.18589992980761,1.14512824183772,821
"cricket",0.849745613390462,1.17761881381565,1.16819746985627,821
"human",0.817918638847045,1.00013231519785,1.11817185975835,821
"seagull",0.828412000766111,1.20116823669497,1.23464616540456,821
"goose",0.801379586385927,1.22944068126678,1.17654778149895,821
"swan",0.828594951054361,1.22322953142548,1.22632356261294,821
"dog",0.765176203853161,0.926940359120858,0,822
"cat",0.760926545091342,1.01920890619539,0.867457595158494,822
"lion",0.747300702166267,1.05855193950452,1.09555253396067,822
"turtle",0.73332298529754,1.18890452583575,1.08414286552553,822
"fish",0.7362436867238,0.98859879554237,0.991729370751397,822
"gerbil",0.826355859533723,1.1190891012329,1.06847284925107,822
"giraffe",0.783131177086545,1.18844274658855,1.1766182122444,822
"elephant",0.714734875892748,1.04619490980886,1.11684809080827,822
"rhinoceros",0.722561931211629,1.11236943592377,1.18702199470307,822
"hippopotamus",0.761970808138141,1.15659977897511,1.1666862854957,822
"ostrich",0.789314002170584,1.22836893673411,1.23191979429873,822
"bird",0.763273964407067,1.07379314834099,1.01009507359507,822
"toucan",0.86023247483765,1.26095605853567,1.24246137250245,822
"lion",0.747300702166267,1.05855193950452,1.09555253396067,822
"bear",0.802795803498121,1.12388948326659,1.03308931617168,822
"tiger",0.772408877542126,1.13699789913431,1.11649752645681,822
"rat",0.77253346678168,1.07995102832886,1.00412039494565,822
"whale",0.766723744043464,1.143048159231,1.1239687715978,822
"jellyfish",0.818479897160711,1.16127957600804,1.21275635757194,822
"stingray",0.826848335972815,1.22149222059251,1.17353680591612,822
"clownfish",0.838959986681793,1.19877868079066,1.20118303041323,822
"swordfish",0.835313373685554,1.25976042656161,1.22528195020386,822
"turtle",0.73332298529754,1.18890452583575,1.08414286552553,822
"snake",0.77222236516039,1.10865295182169,1.04570627686665,822
"dog",0.744775823014196,0.926940359120858,0,823
"cat",0.740578176432621,1.01920890619539,0.867457595158494,823
"hamster",0.793927889178565,1.09038119952137,1.03307469530268,823
"bunny",0.747278199284594,1.12719759752837,1.01091947523195,823
"lizard",0.790602025587339,1.15827964655824,1.115947767103,823
"snake",0.759543096625408,1.10865295182169,1.04570627686665,823
