"Participant","Cluster","Items","total_items","cum_items","perc_items"
"828",9,1,24,24,1
"829",1,9,15,9,0.6
"829",2,2,15,11,0.733333333333333
"829",3,1,15,12,0.8
"829",4,1,15,13,0.866666666666667
"829",5,1,15,14,0.933333333333333
"829",6,1,15,15,1
"831",1,2,23,2,0.0869565217391304
"831",2,2,23,4,0.173913043478261
"831",3,3,23,7,0.304347826086957
"831",4,2,23,9,0.391304347826087
"831",5,2,23,11,0.478260869565217
"831",6,6,23,17,0.739130434782609
"831",7,2,23,19,0.826086956521739
"831",8,1,23,20,0.869565217391304
"831",9,1,23,21,0.91304347826087
"831",10,1,23,22,0.956521739130435
"831",11,1,23,23,1
"832",1,3,17,3,0.176470588235294
"832",2,4,17,7,0.411764705882353
"832",3,1,17,8,0.470588235294118
"832",4,2,17,10,0.588235294117647
"832",5,1,17,11,0.647058823529412
"832",6,1,17,12,0.705882352941177
"832",7,1,17,13,0.764705882352941
"832",8,4,17,17,1
"833",1,2,13,2,0.153846153846154
"833",2,1,13,3,0.230769230769231
"833",3,1,13,4,0.307692307692308
"833",4,1,13,5,0.384615384615385
"833",5,3,13,8,0.615384615384615
"833",6,2,13,10,0.769230769230769
"833",7,2,13,12,0.923076923076923
"833",8,1,13,13,1
"834",1,2,16,2,0.125
"834",2,3,16,5,0.3125
"834",3,5,16,10,0.625
"834",4,1,16,11,0.6875
"834",5,1,16,12,0.75
"834",6,1,16,13,0.8125
"834",7,2,16,15,0.9375
"834",8,1,16,16,1
"835",1,1,19,1,0.0526315789473684
"835",2,1,19,2,0.105263157894737
"835",3,2,19,4,0.210526315789474
"835",4,2,19,6,0.31578947368421
"835",5,2,19,8,0.421052631578947
"835",6,1,19,9,0.473684210526316
"835",7,1,19,10,0.526315789473684
"835",8,1,19,11,0.578947368421053
"835",9,3,19,14,0.736842105263158
"835",10,4,19,18,0.947368421052632
"835",11,1,19,19,1
"837",1,4,24,4,0.166666666666667
"837",2,7,24,11,0.458333333333333
"837",3,7,24,18,0.75
"837",4,3,24,21,0.875
"837",5,2,24,23,0.958333333333333
"837",6,1,24,24,1
"838",1,2,21,2,0.0952380952380952
"838",2,2,21,4,0.19047619047619
"838",3,2,21,6,0.285714285714286
"838",4,1,21,7,0.333333333333333
"838",5,1,21,8,0.380952380952381
"838",6,3,21,11,0.523809523809524
"838",7,1,21,12,0.571428571428571
"838",8,3,21,15,0.714285714285714
"838",9,1,21,16,0.761904761904762
"838",10,1,21,17,0.80952380952381
"838",11,4,21,21,1
"839",1,2,23,2,0.0869565217391304
"839",2,1,23,3,0.130434782608696
"839",3,1,23,4,0.173913043478261
"839",4,2,23,6,0.260869565217391
"839",5,4,23,10,0.434782608695652
"839",6,6,23,16,0.695652173913043
"839",7,3,23,19,0.826086956521739
"839",8,3,23,22,0.956521739130435
"839",9,1,23,23,1
"840",1,4,27,4,0.148148148148148
"840",2,1,27,5,0.185185185185185
"840",3,1,27,6,0.222222222222222
"840",4,1,27,7,0.259259259259259
"840",5,2,27,9,0.333333333333333
"840",6,1,27,10,0.37037037037037
"840",7,3,27,13,0.481481481481481
"840",8,3,27,16,0.592592592592593
"840",9,2,27,18,0.666666666666667
"840",10,2,27,20,0.740740740740741
"840",11,1,27,21,0.777777777777778
"840",12,4,27,25,0.925925925925926
"840",13,2,27,27,1
"841",1,2,29,2,0.0689655172413793
"841",2,2,29,4,0.137931034482759
"841",3,1,29,5,0.172413793103448
"841",4,2,29,7,0.241379310344828
"841",5,2,29,9,0.310344827586207
"841",6,1,29,10,0.344827586206897
"841",7,1,29,11,0.379310344827586
"841",8,1,29,12,0.413793103448276
"841",9,1,29,13,0.448275862068966
"841",10,3,29,16,0.551724137931034
"841",11,5,29,21,0.724137931034483
"841",12,1,29,22,0.758620689655172
"841",13,1,29,23,0.793103448275862
"841",14,4,29,27,0.931034482758621
"841",15,2,29,29,1
"842",1,2,22,2,0.0909090909090909
"842",2,3,22,5,0.227272727272727
"842",3,1,22,6,0.272727272727273
"842",4,1,22,7,0.318181818181818
"842",5,2,22,9,0.409090909090909
"842",6,1,22,10,0.454545454545455
"842",7,4,22,14,0.636363636363636
"842",8,3,22,17,0.772727272727273
"842",9,1,22,18,0.818181818181818
"842",10,1,22,19,0.863636363636364
