Category,Item
bovineDeer,roe
bovineDeer,roebuck
bovineDeer,sheep
bovineDeer,springbok
bovineDeer,stag
bovineDeer,steenbok
bovineDeer,steer
bovineDeer,water buffalo
bovineDeer,white deer
bovineDeer,white tailed deer
bovineDeer,wildebeest
bovineDeer,yak
canines,african wild dog
canines,akita
canines,alaskan wolf
canines,arctic fox
canines,basset hound
canines,beagle
canines,berger picard
canines,black lab
canines,bloodhound
canines,border collie
canines,boxer
canines,bulldog
canines,canine
canines,chihuahua
canines,chocolate labrador
canines,cockapoo
canines,cocker spaniel
canines,corgi
canines,coyote
canines,coywolf
canines,dachshund
canines,dalmatian
canines,dingo
canines,doberman
canines,dog
canines,english bulldog
canines,fennec fox
canines,fox
canines,french bulldog
canines,german shepherd
canines,golden retriever
canines,goldendoodle
canines,great dane
canines,greyhound
canines,hanover hound
canines,harrier
canines,havanese dog
canines,husky
canines,jack russell terrier
canines,jackal
canines,labrador
canines,labrador retriever
canines,malamute
canines,maltese dog
canines,maned wolf
canines,mexican wolf
canines,mutt
canines,newfoundland
canines,painted dog
canines,pembroke welsh corgi
canines,pit bull
canines,pomeranian
canines,poodle
canines,pug
canines,puggle
canines,pup
canines,puppy
canines,red wolf
canines,rottweiler
canines,saint bernard
canines,schnauzer
canines,sheep dog
canines,shiba inu
canines,shih tzu
canines,siberian husky
canines,terrier
canines,tibetan wolf
canines,timber wolf
canines,toy poodle
canines,wiener dog
canines,wolf
canines,wolfhound
extinct,allosaurus
extinct,brachiosaurus
extinct,dinosaur
extinct,dodo
extinct,mammoth
extinct,mastodon
extinct,megalodon
extinct,pterodactyl
extinct,raptor
extinct,saber toothed tiger
extinct,stegosaurus
extinct,tasmanian tiger
extinct,triceratops
extinct,tyrannosaurus rex
extinct,velociraptor
extinct,woolly mammoth
farm,ass
farm,billy goat
farm,boar
farm,bronco
farm,bull
farm,bullock
farm,burro
farm,calf
farm,cattle
farm,chick
farm,chicken
farm,colt
farm,cow
farm,donkey
farm,ferret
farm,foal
farm,goat
farm,heifer
farm,hen
farm,hinny
farm,hog
farm,holstein cow
farm,horse
farm,jersey cow
farm,lamb
farm,mare
farm,miniature horse
farm,miniature pig
farm,miniature pony
farm,mule
farm,pig
farm,piglet
farm,pony
farm,potbellied pig
farm,ram
farm,rooster
farm,sheep
farm,sheep dog
farm,sow
farm,stallion
farm,turkey
felines,bengal cat
felines,bengal tiger
felines,black panther
felines,bobcat
felines,calico cat
felines,cat
felines,cheetah
felines,clouded leopard
felines,cougar
felines,devon rex
felines,feline
felines,jaguar
felines,kitten
felines,leopard
felines,liger
felines,lion
felines,lioness
felines,lynx
felines,maine coon
felines,mountain lion
felines,munchkin cat
felines,ocelot
felines,pallass cat
felines,panther
felines,puma
felines,saber toothed tiger
felines,savannah cat
felines,short haired cat
felines,siamese cat
felines,siberian cat
felines,siberian tiger
felines,snow leopard
felines,snow lion
felines,tabby cat
felines,tiger
felines,tigon
felines,tomcat
felines,white lion
felines,white tiger
felines,wildcat
fish,amberjack
fish,anchovy
fish,angelfish
fish,anglerfish
fish,arrowhead shark
fish,barracuda
fish,basking shark
fish,bass
fish,betta fish
fish,blackfish
fish,blacktip reef shark
fish,blacktip shark
fish,blobfish
fish,blowfish
fish,bluefin tuna
fish,bluefish
fish,bluegill
fish,bull shark
fish,carp
fish,catfish
fish,clownfish
fish,cod
fish,corydoras
fish,crappie
fish,croaker
fish,cuttlefish
fish,deep sea fish
fish,dogfish
fish,eel
fish,electric eel
fish,fish
fish,flounder
fish,flying fish
fish,freshwater fish
fish,gar
fish,goldfish
fish,great white shark
fish,greenland shark
fish,grenadier
fish,grouper
fish,grunt
fish,guppy
fish,hammerhead shark
fish,herring
fish,hornyhead chub
fish,jack
fish,koi
fish,lamprey
fish,lane snapper
fish,lionfish
fish,mackerel
fish,mako shark
fish,manta ray
fish,marlin
fish,megalodon
fish,milk shark
fish,minnow
fish,muskellunge
fish,parrotfish
fish,perch
fish,pike
fish,pink salmon
fish,piranha
fish,pleco
fish,pollock
fish,pufferfish
fish,rainbow trout
fish,rainbowfish
fish,ray
fish,red snapper
fish,remora fish
fish,salmon
fish,saltwater fish
fish,sand tiger shark
fish,sardine
fish,sawfish
fish,sea bass
fish,seahorse
fish,shark
fish,smelt
fish,snapper
fish,stickleback
fish,stingray
fish,sturgeon
fish,suckerfish
fish,sunfish
fish,swordfish
fish,tarpon
fish,tetra
fish,tigerfish
fish,tigershark
fish,tilapia
fish,trout
fish,tuna
fish,walleye
fish,whale shark
fish,yellowfin tuna
fish,yellowtail
fish,yellowtail snapper
furWool,alpaca
furWool,beaver
furWool,camel
furWool,chinchilla
furWool,ermine
furWool,fennec fox
furWool,fisher
furWool,fox
furWool,goat
furWool,llama
furWool,marten
furWool,mink
furWool,muskox
furWool,nutria
furWool,rabbit
furWool,sable
furWool,sheep
furWool,stoat
furWool,vicuna
furWool,yak
insectivores,aardvark
insectivores,aardwolf
insectivores,anteater
insectivores,armadillo
insectivores,bat
insectivores,echidna
insectivores,hedgehog
insectivores,mole
insectivores,pangolin
insectivores,shrew
insectsSpiders,ant
insectsSpiders,antlion
insectsSpiders,aphid
insectsSpiders,arachnid
insectsSpiders,banana spider
insectsSpiders,bed bug
insectsSpiders,bee
insectsSpiders,beetle
insectsSpiders,black widow
insectsSpiders,brown recluse
insectsSpiders,bug
insectsSpiders,bumblebee
insectsSpiders,butterfly
insectsSpiders,carpenter ant
insectsSpiders,caterpillar
insectsSpiders,centipede
insectsSpiders,cicada
insectsSpiders,cockroach
insectsSpiders,cricket
insectsSpiders,daddy long legs
insectsSpiders,deer fly
insectsSpiders,dragonfly
insectsSpiders,dung beetle
insectsSpiders,earthworm
insectsSpiders,earwig
insectsSpiders,fire ant
insectsSpiders,firefly
insectsSpiders,flea
insectsSpiders,fly
insectsSpiders,fruit fly
insectsSpiders,gnat
insectsSpiders,grasshopper
insectsSpiders,grub
insectsSpiders,hobo spider
insectsSpiders,honeybee
insectsSpiders,hornet
insectsSpiders,horse fly
insectsSpiders,housefly
insectsSpiders,inchworm
insectsSpiders,insect
insectsSpiders,japanese beetle
insectsSpiders,june beetle
insectsSpiders,katydid
insectsSpiders,ladybug
insectsSpiders,larva
insectsSpiders,leech
insectsSpiders,lepidoptera
insectsSpiders,lice
insectsSpiders,lightning bug
insectsSpiders,locust
insectsSpiders,louse
insectsSpiders,maggot
insectsSpiders,mayfly
insectsSpiders,mealworm
insectsSpiders,millipede
insectsSpiders,mite
insectsSpiders,monarch butterfly
insectsSpiders,mosquito
insectsSpiders,moth
insectsSpiders,nematode
insectsSpiders,penis worm
insectsSpiders,pill bug
insectsSpiders,praying mantis
insectsSpiders,roundworm
insectsSpiders,scorpion
insectsSpiders,slug
insectsSpiders,snail
insectsSpiders,spider
insectsSpiders,stag beetle
insectsSpiders,stick insect
insectsSpiders,stink bug
insectsSpiders,tapeworm
insectsSpiders,tarantula
insectsSpiders,termite
insectsSpiders,tick
insectsSpiders,trapdoor spider
insectsSpiders,wasp
insectsSpiders,water bug
insectsSpiders,weevil
insectsSpiders,wood spider
insectsSpiders,worm
insectsSpiders,yellow jacket
marsupials,bandicoot
marsupials,kangaroo
marsupials,koala
marsupials,koala bear
marsupials,marsupial
marsupials,opossum
marsupials,possum
marsupials,quokka
marsupials,sugar glider
marsupials,tasmanian devil
marsupials,tasmanian tiger
marsupials,wallaby
marsupials,wallaroo
marsupials,wombat
mythological,godzilla
mythological,griffin
mythological,jackalope
mythological,mockingjay
mythological,snow lion
mythological,sphynx
mythological,unicorn
northAmerica,alaskan wolf
northAmerica,american bison
northAmerica,american toad
northAmerica,american woodcock
northAmerica,armadillo
northAmerica,axolotl
northAmerica,bald eagle
northAmerica,bighorn sheep
northAmerica,bison
northAmerica,black bear
northAmerica,black hawk
northAmerica,black squirrel
northAmerica,black tailed deer
northAmerica,blue jay
northAmerica,bluebird
northAmerica,bobcat
northAmerica,box turtle
northAmerica,brown bear
northAmerica,brown recluse
northAmerica,california condor
northAmerica,canada goose
northAmerica,cardinal
northAmerica,chipmunk
northAmerica,coopers hawk
northAmerica,corn snake
northAmerica,cottonmouth snake
northAmerica,cougar
northAmerica,coyote
northAmerica,coywolf
northAmerica,diamondback rattlesnake
northAmerica,eastern newt
northAmerica,elk
northAmerica,fisher
northAmerica,garter snake
northAmerica,gila monster
northAmerica,gopher
northAmerica,grackle
northAmerica,gray treefrog
northAmerica,great horned owl
northAmerica,greater yellowlegs
northAmerica,green treefrog
northAmerica,grizzly bear
northAmerica,groundhog
northAmerica,hornyhead chub
northAmerica,jaguar
northAmerica,killdeer
northAmerica,kinkajou
northAmerica,kodiak bear
northAmerica,lesser yellowlegs
northAmerica,long tailed salamander
northAmerica,mexican wolf
northAmerica,milk snake
northAmerica,moose
northAmerica,mountain goat
northAmerica,mountain lion
northAmerica,muskellunge
northAmerica,northern cricket frog
northAmerica,ocelot
northAmerica,opossum
northAmerica,painted turtle
northAmerica,possum
northAmerica,prairie dog
northAmerica,pronghorn
northAmerica,puma
northAmerica,raccoon
northAmerica,red tailed hawk
northAmerica,red wolf
northAmerica,roadrunner
northAmerica,sidewinder snake
northAmerica,sloth
northAmerica,snow goose
northAmerica,snowshoe hare
northAmerica,song sparrow
northAmerica,spider monkey
northAmerica,swamp sparrow
northAmerica,tapir
northAmerica,toucan
northAmerica,tufted titmouse
northAmerica,walleye
pets,akita
pets,basset hound
pets,beagle
pets,bengal cat
pets,berger picard
pets,betta fish
pets,bird
pets,black lab
pets,bloodhound
pets,border collie
pets,box turtle
pets,boxer
pets,budgie
pets,bulldog
pets,bunny
pets,calico cat
pets,canary
pets,cat
pets,chihuahua
pets,chinchilla
pets,chocolate labrador
pets,cockapoo
pets,cockatiel
pets,cockatoo
pets,cocker spaniel
pets,common degu
pets,corgi
pets,dachshund
pets,dalmatian
pets,devon rex
pets,doberman
pets,dog
pets,eastern newt
pets,english bulldog
pets,ferret
pets,fish
pets,french bulldog
pets,gerbil
pets,german shepherd
pets,golden retriever
pets,goldendoodle
pets,goldfish
pets,great dane
pets,greyhound
pets,guinea pig
pets,guppy
pets,hamster
pets,hanover hound
pets,harrier
pets,havanese dog
pets,husky
pets,iguana
pets,jack russell terrier
pets,kitten
pets,labrador
pets,labrador retriever
pets,maine coon
pets,malamute
pets,maltese dog
pets,munchkin cat
pets,mutt
pets,newfoundland
pets,newt
pets,painted turtle
pets,parakeet
pets,parrot
pets,pembroke welsh corgi
pets,pit bull
pets,pomeranian
pets,poodle
pets,pug
pets,puggle
pets,puppy
pets,rabbit
pets,rottweiler
pets,saint bernard
pets,salamander
pets,savannah cat
pets,schnauzer
pets,sheep dog
pets,shiba inu
pets,shih tzu
pets,short haired cat
pets,siamese cat
pets,siberian cat
pets,siberian husky
pets,snake
pets,tabby cat
pets,toy poodle
pets,turtle
pets,wiener dog
pets,wolfhound
pigs,boar
pigs,hog
pigs,miniature pig
pigs,pig
pigs,piglet
pigs,potbellied pig
pigs,sow
pigs,warthog
pigs,wild boar
primates,ape
primates,aye aye
primates,baboon
primates,bonobo
primates,bush baby
primates,capuchin monkey
primates,child
primates,chimpanzee
primates,gibbon
primates,gorilla
primates,howler monkey
primates,human
primates,lemur
primates,loris
primates,macaque
primates,marmoset
primates,monkey
primates,orangutan
primates,person
primates,primate
primates,pygmy marmoset
primates,ring tailed lemur
primates,saki monkey
primates,sifaka
primates,silverback
primates,snow monkey
primates,spider monkey
primates,tarsier
primates,titi monkey
primates,troglodyte
reptilesAmphibians,adder
reptilesAmphibians,alligator
reptilesAmphibians,allosaurus
reptilesAmphibians,american toad
reptilesAmphibians,amphibian
reptilesAmphibians,anaconda
reptilesAmphibians,anole
reptilesAmphibians,asp
reptilesAmphibians,axolotl
reptilesAmphibians,ball python
reptilesAmphibians,bearded dragon
reptilesAmphibians,black mamba
reptilesAmphibians,black snake
reptilesAmphibians,blue tongued skink
reptilesAmphibians,boa constrictor
reptilesAmphibians,box turtle
reptilesAmphibians,brachiosaurus
reptilesAmphibians,bullfrog
reptilesAmphibians,caiman
reptilesAmphibians,chameleon
reptilesAmphibians,chinese crocodile lizard
reptilesAmphibians,chinese water dragon
reptilesAmphibians,cobra
reptilesAmphibians,copperhead snake
reptilesAmphibians,coral snake
reptilesAmphibians,corn snake
reptilesAmphibians,cottonmouth snake
reptilesAmphibians,crocodile
reptilesAmphibians,diamondback
reptilesAmphibians,diamondback rattlesnake
reptilesAmphibians,dinosaur
reptilesAmphibians,dragon
reptilesAmphibians,eastern newt
reptilesAmphibians,fierce snake
reptilesAmphibians,frog
reptilesAmphibians,garden snake
reptilesAmphibians,garter snake
reptilesAmphibians,gecko
reptilesAmphibians,gila monster
reptilesAmphibians,godzilla
reptilesAmphibians,gopher tortoise
reptilesAmphibians,grass snake
reptilesAmphibians,gray treefrog
reptilesAmphibians,green tree python
reptilesAmphibians,green treefrog
reptilesAmphibians,hellbender
reptilesAmphibians,horned lizard
reptilesAmphibians,iguana
reptilesAmphibians,king cobra
reptilesAmphibians,komodo dragon
reptilesAmphibians,lizard
reptilesAmphibians,long tailed lizard
reptilesAmphibians,long tailed salamander
reptilesAmphibians,milk snake
reptilesAmphibians,moccasin
reptilesAmphibians,monitor
reptilesAmphibians,monitor lizard
reptilesAmphibians,moonglow boa
reptilesAmphibians,newt
reptilesAmphibians,northern cricket frog
reptilesAmphibians,painted turtle
reptilesAmphibians,pink tongued skink
reptilesAmphibians,poison dart frog
reptilesAmphibians,pterodactyl
reptilesAmphibians,python
reptilesAmphibians,raptor
reptilesAmphibians,rattlesnake
reptilesAmphibians,reptile
reptilesAmphibians,salamander
reptilesAmphibians,sea snake
reptilesAmphibians,sea turtle
reptilesAmphibians,serpent
