word,distance_to_centroid,distance_to_domain,distance_to_first_item,ID
mouse,0.7477942486500635,1.1048159339711667,1.1152597001622582,7
hamster,0.7811223004826052,1.090381199521366,1.1722134521008256,7
squirrel,0.7597318805927861,1.1857650114949005,1.0991734155480086,7
guinea pig,0.7888388903989816,1.0762220833286011,1.1264056349592877,7
gerbil,0.7974258920580057,1.119089101232899,1.1852922361907459,7
anteater,0.7826996758952934,1.1060189396094344,0.8931370871273212,7
snake,0.7443961965870171,1.1086529518216863,1.162289538175381,7
cat,0.7567242217896647,1.0192089061953933,0.0,11
dog,0.7234441849219528,0.9269403591208584,0.8674575951584943,11
red panda,0.8590781849611845,1.178595548641194,1.183753933872535,11
lemur,0.7742662907970332,1.2056970111952872,1.152864399979503,11
fennec fox,0.8054475514479631,1.1750920894194832,1.196634597383327,11
tiger,0.7840745992139102,1.1369978991343088,1.0270121376671233,11
lion,0.7673766198101398,1.058551939504521,1.051988795264514,11
elephant,0.747413857939656,1.0461949098088636,1.0988771715258037,11
flamingo,0.7976987703266814,1.200739366653492,1.1800314336560256,11
sandpiper,0.8103569869945363,1.2109618343974042,1.1738713923340882,11
fairy tern,0.8526398788951612,1.2397111143622161,1.222926933533913,11
monkey,0.7322725289095106,1.0776578204652905,1.0166223194661992,11
chimpanzee,0.7742046007993373,1.087170527798375,1.1818607875036509,11
orangutan,0.7780842455590964,1.1710860462469639,1.2134488238362795,11
havanese dog,0.9014142613464489,1.2460176821775357,1.2273728660345469,11
dog,0.7234441849219528,0.9269403591208584,0.8674575951584943,11
snake,0.763607452048236,1.1086529518216863,1.0571680994100559,11
garter snake,0.8713627402550737,1.243429731403177,1.2352262269710994,11
deer,0.800212185871792,1.0670022123976246,1.136588276312349,11
fox,0.8337953496279692,1.1562210376241773,1.1291642861175204,11
porcupine,0.7639314650183257,1.1477724757763785,1.1372268483975012,11
hedgehog,0.7807506995342385,1.1815866432768223,1.12350715737608,11
ant,0.8274969467330793,1.1858999298076058,1.1306459791942027,11
butterfly,0.7999409158230547,1.1739238085649506,1.1251478792041218,11
dragonfly,0.8310449242028458,1.2260335103870341,1.2232005402716806,11
rabbit,0.7504449600043895,1.0467123341550726,0.9860531770815246,11
chicken,0.8136502923485303,1.1216453062598462,1.0119363553642762,11
anaconda,0.8422616124488643,1.234003772870135,0.0,12
bear,0.7761667380487103,1.123889483266586,1.2136555989885176,12
cat,0.7478055555122638,1.0192089061953933,1.2497753468991941,12
dog,0.7552703008980582,0.9269403591208584,1.2526886606982843,12
frog,0.7717354471715837,1.0931126652960574,1.2300080513612293,12
goat,0.8021577780958477,1.084723785451578,1.273685986156286,12
iguana,0.814906944340303,1.1855950697014557,1.1104802481090152,12
jaguar,0.830668444243108,1.223031024062769,1.1045485886892503,12
kangaroo,0.7501374921571157,1.1105409242026874,1.147036616576371,12
llama,0.7558138606749897,1.1520927992140997,1.21962198383588,12
orca,0.8046504453115028,1.1716034032607816,1.042757348511865,12
penguin,0.7552631851218696,1.1562000207801095,1.2316937184621548,12
rabbit,0.7702465286941653,1.0467123341550726,1.2431193149433235,12
spider,0.7715858796635587,1.1726798248185308,1.1588119365378793,12
tiger,0.7688209320259304,1.1369978991343088,1.1665318024042621,12
whale,0.7747777317535284,1.1430481592310042,1.1641082658978492,12
zebra,0.7780312520223875,1.1176582885897683,1.1734633011541657,12
alpaca,0.8065211784088854,1.1749418382249637,1.1852041524015042,12
baboon,0.7595875825737332,1.1501268499293378,1.094818365315629,12
komodo dragon,0.7951449787298992,1.2021091624858309,1.1112969923896951,12
cat,0.6979341336438311,1.0192089061953933,0.0,15
dog,0.6974517652596672,0.9269403591208584,0.8674575951584943,15
parrot,0.8073376896995235,1.1556004162000015,1.1125623197056222,15
lizard,0.8103747990707528,1.15827964655824,1.1278126332605123,15
fish,0.7570014142276805,0.9885987955423701,1.038206803388522,15
turtle,0.7671417666797516,1.1889045258357533,1.0991275841268757,15
snake,0.7420651088541377,1.1086529518216863,1.0571680994100559,15
tiger,0.7660898514484982,1.1369978991343088,1.0270121376671233,15
