Switch_Method,Switches_per_Subj_mean,Switches_per_Subj_SD,Model,Beta_Frequency_mean,Beta_Frequency_std,Beta_Semantic_mean,Beta_Semantic_std,Beta_Phonological_mean,Beta_Phonological_std
multimodaldelta_alpha=0.5_rise=0.5_fall=0.25,11.994791666666666,3.311119831708082,forage_phonologicaldynamicswitch,5.107526256345776,1.3737714418042892,4.550133169420372,0.686452510434537,-0.5568315743380129,0.8786151573728926
multimodaldelta_alpha=0.5_rise=0.5_fall=0.5,11.057291666666666,3.383761614672428,forage_dynamic,5.194307792132633,1.4039828007167692,4.467393690081958,0.6508691026526993,,
multimodaldelta_alpha=0.5_rise=0.5_fall=0.5,11.057291666666666,3.383761614672428,forage_phonologicaldynamicglobal,5.084139717950577,1.357926805074362,5.218030064050358,1.01253827979154,-0.12381114439813601,0.09530683507305393
multimodaldelta_alpha=0.5_rise=0.5_fall=0.5,11.057291666666666,3.383761614672428,forage_phonologicaldynamiclocal,5.185199171387171,1.394858399017695,4.8217810581349045,1.3141639342960607,-0.026401287964136502,0.22351651539421025
multimodaldelta_alpha=0.5_rise=0.5_fall=0.5,11.057291666666666,3.383761614672428,forage_phonologicaldynamicswitch,5.075063978814678,1.3662184238430122,4.470381819024737,0.6493933973836389,-0.6802966353219739,0.9806274054403764
multimodaldelta_alpha=0.5_rise=0.5_fall=0.75,9.78125,3.381022789655028,forage_dynamic,5.166760834224612,1.3985449081274237,4.371006094056462,0.6503263270386228,,
multimodaldelta_alpha=0.5_rise=0.5_fall=0.75,9.78125,3.381022789655028,forage_phonologicaldynamicglobal,5.053980945548512,1.3506484857742953,5.120672667179719,0.9868284275632713,-0.12662063942859153,0.09438256469454671
multimodaldelta_alpha=0.5_rise=0.5_fall=0.75,9.78125,3.381022789655028,forage_phonologicaldynamiclocal,5.148015788249127,1.386147958081765,4.804976488897505,1.2934232260858949,-0.04522033447095893,0.21979398578604142
multimodaldelta_alpha=0.5_rise=0.5_fall=0.75,9.78125,3.381022789655028,forage_phonologicaldynamicswitch,5.057553174712005,1.3634610165989318,4.373685754460207,0.6484298139695439,-0.7742804182297686,1.0112260212717568
multimodaldelta_alpha=0.5_rise=0.5_fall=1.0,8.276041666666666,3.0262478415132974,forage_dynamic,5.134637238488739,1.3987038729803258,4.233707383534183,0.6221341480456773,,
multimodaldelta_alpha=0.5_rise=0.5_fall=1.0,8.276041666666666,3.0262478415132974,forage_phonologicaldynamicglobal,5.020929474139968,1.349338242151995,4.977089187392404,0.9761461568465655,-0.12826453981994587,0.09404498133090339
multimodaldelta_alpha=0.5_rise=0.5_fall=1.0,8.276041666666666,3.0262478415132974,forage_phonologicaldynamiclocal,5.106230694840922,1.3840742927985552,4.70480825391563,1.1672803140640429,-0.06205372711095141,0.18722077807592144
multimodaldelta_alpha=0.5_rise=0.5_fall=1.0,8.276041666666666,3.0262478415132974,forage_phonologicaldynamicswitch,5.034963488479292,1.3622805184905915,4.236278272281994,0.6208661257266536,-0.9030861908692138,1.0633650004457247
multimodaldelta_alpha=0.5_rise=0.75_fall=0.0,13.770833333333334,3.874271884998379,forage_dynamic,5.2641131399606875,1.4257779908674548,4.6819481695242375,0.7181877495798532,,
multimodaldelta_alpha=0.5_rise=0.75_fall=0.0,13.770833333333334,3.874271884998379,forage_phonologicaldynamicglobal,5.1615018727588975,1.383937431867352,5.393620160096575,1.0632001594988574,-0.11249963448060035,0.09328513883512893
multimodaldelta_alpha=0.5_rise=0.75_fall=0.0,13.770833333333334,3.874271884998379,forage_phonologicaldynamiclocal,5.271071754160708,1.4322409349430356,5.01518867644044,1.6859288013799059,-0.009479423258626636,0.34428006699534675
multimodaldelta_alpha=0.5_rise=0.75_fall=0.0,13.770833333333334,3.874271884998379,forage_phonologicaldynamicswitch,5.1468269104867455,1.3862204479230777,4.68420560099585,0.7160822601397511,-0.42238740779752537,0.7718675725501122
multimodaldelta_alpha=0.5_rise=0.75_fall=0.25,13.317708333333334,3.7705131942832253,forage_dynamic,5.251812092074993,1.4204525472574527,4.65971023281674,0.7284700001757207,,
multimodaldelta_alpha=0.5_rise=0.75_fall=0.25,13.317708333333334,3.7705131942832253,forage_phonologicaldynamicglobal,5.1470127571586834,1.3771028975645463,5.382957805792885,1.0645012337696784,-0.11504692661019335,0.09340783954053393
multimodaldelta_alpha=0.5_rise=0.75_fall=0.25,13.317708333333334,3.7705131942832253,forage_phonologicaldynamiclocal,5.255886601568029,1.4211937779888182,4.953580620469213,1.5949115009399992,0.00020814686602331785,0.3587797178565934
multimodaldelta_alpha=0.5_rise=0.75_fall=0.25,13.317708333333334,3.7705131942832253,forage_phonologicaldynamicswitch,5.13061088570904,1.3807644531616738,4.662105768507614,0.7263217923306712,-0.4687644904766701,0.8168366364212993
multimodaldelta_alpha=0.5_rise=0.75_fall=0.5,12.494791666666666,3.790060185089047,forage_dynamic,5.224123551611658,1.416588830136163,4.586851466813034,0.6861247844644224,,
multimodaldelta_alpha=0.5_rise=0.75_fall=0.5,12.494791666666666,3.790060185089047,forage_phonologicaldynamicglobal,5.1158241437235645,1.371081268130697,5.319034718547742,1.0235977180382323,-0.11841040994098613,0.09413965579262293
multimodaldelta_alpha=0.5_rise=0.75_fall=0.5,12.494791666666666,3.790060185089047,forage_phonologicaldynamiclocal,5.219350640572827,1.4107491998988726,4.866745444945907,1.417851931886946,0.0011250603326209993,0.2784331443228681
multimodaldelta_alpha=0.5_rise=0.75_fall=0.5,12.494791666666666,3.790060185089047,forage_phonologicaldynamicswitch,5.101623572295669,1.3769464119381138,4.589661519224406,0.6838843262958237,-0.5692484903123178,0.9056064530405705
multimodaldelta_alpha=0.5_rise=0.75_fall=0.75,11.333333333333334,3.857262270344372,forage_dynamic,5.192392706471964,1.410740068785141,4.502095053150711,0.6870731544157622,,
multimodaldelta_alpha=0.5_rise=0.75_fall=0.75,11.333333333333334,3.857262270344372,forage_phonologicaldynamicglobal,5.081034377273327,1.3631323570413147,5.2408294714070225,0.9980992760767773,-0.12199265007897192,0.09364914416313064
multimodaldelta_alpha=0.5_rise=0.75_fall=0.75,11.333333333333334,3.857262270344372,forage_phonologicaldynamiclocal,5.179647371178639,1.401163100432307,4.879889063453361,1.3900924147957794,-0.023609509217372347,0.2668067899014869
multimodaldelta_alpha=0.5_rise=0.75_fall=0.75,11.333333333333334,3.857262270344372,forage_phonologicaldynamicswitch,5.077814490631407,1.3739117337392739,4.504773306029371,0.6845558795717198,-0.6631354335923598,0.9714685020833868
multimodaldelta_alpha=0.5_rise=0.75_fall=1.0,9.838541666666666,3.6968418332315163,forage_dynamic,5.161185876981008,1.4091959503398535,4.356983584084925,0.6474065832360567,,
multimodaldelta_alpha=0.5_rise=0.75_fall=1.0,9.838541666666666,3.6968418332315163,forage_phonologicaldynamicglobal,5.0496771836816885,1.361087120430408,5.0930904008818505,0.9788655740800281,-0.12428160766615276,0.09398902202651037
multimodaldelta_alpha=0.5_rise=0.75_fall=1.0,9.838541666666666,3.6968418332315163,forage_phonologicaldynamiclocal,5.139542335404323,1.3990854372427695,4.7566202888800415,1.2641845487095025,-0.03387247751180646,0.26194048376340723
multimodaldelta_alpha=0.5_rise=0.75_fall=1.0,9.838541666666666,3.6968418332315163,forage_phonologicaldynamicswitch,5.054056304589504,1.3703154478504902,4.359698904392369,0.6455117131461822,-0.8149244725243251,1.0572086209807081
multimodaldelta_alpha=0.5_rise=1.0_fall=0.0,14.776041666666666,4.22133087208255,forage_dynamic,5.280800336194594,1.4318009263595284,4.781635031615417,0.7624525140923746,,
multimodaldelta_alpha=0.5_rise=1.0_fall=0.0,14.776041666666666,4.22133087208255,forage_phonologicaldynamicglobal,5.1834678608180615,1.3938142524005934,5.464106113319729,1.0640175109112997,-0.10624956402903168,0.09150593910725935
multimodaldelta_alpha=0.5_rise=1.0_fall=0.0,14.776041666666666,4.22133087208255,forage_phonologicaldynamiclocal,5.2949647475241965,1.4432476937553091,5.023132003770093,1.8871018103880997,0.023311258100976454,0.4605613322097886
multimodaldelta_alpha=0.5_rise=1.0_fall=0.0,14.776041666666666,4.22133087208255,forage_phonologicaldynamicswitch,5.165353740387137,1.3943386928173775,4.7841844391007555,0.7596047108816394,-0.3534457126769683,0.6908863300823187
multimodaldelta_alpha=0.5_rise=1.0_fall=0.25,14.395833333333334,4.126840919180459,forage_dynamic,5.268498254792765,1.4318654909052841,4.770390591007401,0.7692800211216176,,
multimodaldelta_alpha=0.5_rise=1.0_fall=0.25,14.395833333333334,4.126840919180459,forage_phonologicaldynamicglobal,5.169071694251969,1.3931237614013412,5.465972250327918,1.0728608043876804,-0.10868407459199143,0.09112817522575908
multimodaldelta_alpha=0.5_rise=1.0_fall=0.25,14.395833333333334,4.126840919180459,forage_phonologicaldynamiclocal,5.283489458380198,1.4438882475668697,5.004017792993929,1.8934100409020276,0.028270468796621318,0.44780011194315233
multimodaldelta_alpha=0.5_rise=1.0_fall=0.25,14.395833333333334,4.126840919180459,forage_phonologicaldynamicswitch,5.148350083296013,1.393657207952539,4.773090943889227,0.7664224575328801,-0.4228542023068434,0.9022874888363394
multimodaldelta_alpha=0.5_rise=1.0_fall=0.5,13.802083333333334,4.178615679032418,forage_dynamic,5.248011384672855,1.4312157988644105,4.710546446755117,0.7411680408889956,,
multimodaldelta_alpha=0.5_rise=1.0_fall=0.5,13.802083333333334,4.178615679032418,forage_phonologicaldynamicglobal,5.145765258998293,1.3913866135133213,5.413116969911614,1.0381639383426788,-0.11143236538392565,0.09209030725590349
multimodaldelta_alpha=0.5_rise=1.0_fall=0.5,13.802083333333334,4.178615679032418,forage_phonologicaldynamiclocal,5.252675203620577,1.432130672979973,4.9038003949272975,1.5989649494195084,0.040424049947964086,0.35947633005375634
multimodaldelta_alpha=0.5_rise=1.0_fall=0.5,13.802083333333334,4.178615679032418,forage_phonologicaldynamicswitch,5.125790314692486,1.392498212467985,4.713575532786275,0.7382466830063458,-0.43833348833309665,0.772009531227753
multimodaldelta_alpha=0.5_rise=1.0_fall=0.75,12.807291666666666,4.171998541658089,forage_dynamic,5.215040312032717,1.4304085323903255,4.623842786260227,0.7270812056761948,,
multimodaldelta_alpha=0.5_rise=1.0_fall=0.75,12.807291666666666,4.171998541658089,forage_phonologicaldynamicglobal,5.109448086987224,1.3889169004042141,5.341725311032039,1.0222557410504989,-0.11543092884144797,0.0919604974369075
multimodaldelta_alpha=0.5_rise=1.0_fall=0.75,12.807291666666666,4.171998541658089,forage_phonologicaldynamiclocal,5.214056677903732,1.4299587608916728,4.934765542889829,1.5750876783276408,0.008361793719921792,0.3242257600272711
multimodaldelta_alpha=0.5_rise=1.0_fall=0.75,12.807291666666666,4.171998541658089,forage_phonologicaldynamicswitch,5.097804705847551,1.392163890318722,4.6269610332016295,0.7243430880443653,-0.5093508891951928,0.8615338982987025
multimodaldelta_alpha=0.5_rise=1.0_fall=1.0,11.265625,4.1037667688001385,forage_dynamic,5.185595606707609,1.4280084526212118,4.459176430544846,0.6915598200537771,,
multimodaldelta_alpha=0.5_rise=1.0_fall=1.0,11.265625,4.1037667688001385,forage_phonologicaldynamicglobal,5.078595392069128,1.3848085834446093,5.180018765900642,1.0069141203009455,-0.11878299668634923,0.09259865558741945
multimodaldelta_alpha=0.5_rise=1.0_fall=1.0,11.265625,4.1037667688001385,forage_phonologicaldynamiclocal,5.17502610409601,1.4254674544697037,4.819132140083977,1.4426922484836469,-0.010905290345609544,0.3104453640545099
multimodaldelta_alpha=0.5_rise=1.0_fall=1.0,11.265625,4.1037667688001385,forage_phonologicaldynamicswitch,5.0751007782405955,1.3885707012072317,4.462348509240912,0.6895098386774364,-0.6060127002186676,0.9345789894031391
multimodaldelta_alpha=0.6000000000000001_rise=0.0_fall=0.0,10.453125,2.90615199207503,forage_dynamic,5.194418206051451,1.4047930227000032,4.419180459823623,0.6297036256604042,,
multimodaldelta_alpha=0.6000000000000001_rise=0.0_fall=0.0,10.453125,2.90615199207503,forage_phonologicaldynamicglobal,5.0840946260623285,1.356977285247257,5.198189703545578,1.0183281159810424,-0.12789539307452077,0.09597879063922328
multimodaldelta_alpha=0.6000000000000001_rise=0.0_fall=0.0,10.453125,2.90615199207503,forage_phonologicaldynamiclocal,5.1823531678979,1.4016392058289506,5.166665784322315,1.5062233821441,-0.12762261434471148,0.2983235576855629
multimodaldelta_alpha=0.6000000000000001_rise=0.0_fall=0.0,10.453125,2.90615199207503,forage_phonologicaldynamicswitch,5.103890963098558,1.374611098339134,4.4212098936088315,0.6284883612859886,-0.44226196619112307,0.7958763628909936
multimodaldelta_alpha=0.6000000000000001_rise=0.0_fall=0.25,9.817708333333334,2.7993858996091543,forage_dynamic,5.179966929014272,1.3960907788816201,4.390104366770656,0.6134384249845061,,
multimodaldelta_alpha=0.6000000000000001_rise=0.0_fall=0.25,9.817708333333334,2.7993858996091543,forage_phonologicaldynamicglobal,5.067616700217148,1.346407738366516,5.183017581090279,1.0071471470470237,-0.13104256189442434,0.09654598350907379
multimodaldelta_alpha=0.6000000000000001_rise=0.0_fall=0.25,9.817708333333334,2.7993858996091543,forage_phonologicaldynamiclocal,5.1641366364233745,1.384011714186422,5.098535937692646,1.39307060607843,-0.12259020877396047,0.2805522944968314
multimodaldelta_alpha=0.6000000000000001_rise=0.0_fall=0.25,9.817708333333334,2.7993858996091543,forage_phonologicaldynamicswitch,5.086026856487476,1.3659185141894223,4.392318029148658,0.612276363992073,-0.491929556759144,0.84996045958044
multimodaldelta_alpha=0.6000000000000001_rise=0.0_fall=0.5,8.848958333333334,2.6659697575673826,forage_dynamic,5.155870289057451,1.3793782237051562,4.342183102192824,0.6225262051773955,,
multimodaldelta_alpha=0.6000000000000001_rise=0.0_fall=0.5,8.848958333333334,2.6659697575673826,forage_phonologicaldynamicglobal,5.04125155869943,1.3269921366261688,5.145598302992593,1.010219975677968,-0.13443224050980782,0.09700899168964969
multimodaldelta_alpha=0.6000000000000001_rise=0.0_fall=0.5,8.848958333333334,2.6659697575673826,forage_phonologicaldynamiclocal,5.132382401927423,1.3615158937217111,5.042368940053146,1.3199939087493218,-0.12717755885249052,0.28945689530970775
multimodaldelta_alpha=0.6000000000000001_rise=0.0_fall=0.5,8.848958333333334,2.6659697575673826,forage_phonologicaldynamicswitch,5.064568976896424,1.349842454726931,4.344247460552456,0.6214957896556983,-0.5942121216717716,0.9373881790533592
multimodaldelta_alpha=0.6000000000000001_rise=0.0_fall=0.75,7.854166666666667,2.5453354668665757,forage_dynamic,5.13562560823686,1.3790302628667486,4.25871435369869,0.6125170615156744,,
multimodaldelta_alpha=0.6000000000000001_rise=0.0_fall=0.75,7.854166666666667,2.5453354668665757,forage_phonologicaldynamicglobal,5.019018035527792,1.3261516623519887,5.058600291961041,1.0061103380844008,-0.1357300558813983,0.0973982083721324
multimodaldelta_alpha=0.6000000000000001_rise=0.0_fall=0.75,7.854166666666667,2.5453354668665757,forage_phonologicaldynamiclocal,5.1018166933730615,1.3594156697983781,4.983170638402185,1.3041119651526822,-0.13362294585411832,0.2847280015050643
multimodaldelta_alpha=0.6000000000000001_rise=0.0_fall=0.75,7.854166666666667,2.5453354668665757,forage_phonologicaldynamicswitch,5.053176598529834,1.3518800950534753,4.2607176372306865,0.611694630353676,-0.6782775938631219,0.9997111439358105
multimodaldelta_alpha=0.6000000000000001_rise=0.0_fall=1.0,6.479166666666667,2.3517686902036568,forage_dynamic,5.105266935869383,1.3763361623222483,4.149061374850587,0.6178849786926611,,
multimodaldelta_alpha=0.6000000000000001_rise=0.0_fall=1.0,6.479166666666667,2.3517686902036568,forage_phonologicaldynamicglobal,4.987697939147924,1.3221678136952624,4.924392464317022,0.9849717140714584,-0.13571183714716614,0.09579449143633596
multimodaldelta_alpha=0.6000000000000001_rise=0.0_fall=1.0,6.479166666666667,2.3517686902036568,forage_phonologicaldynamiclocal,5.054927942474273,1.347987743535569,4.839089009128284,1.151040907861263,-0.11476334208764016,0.12642420338787247
multimodaldelta_alpha=0.6000000000000001_rise=0.0_fall=1.0,6.479166666666667,2.3517686902036568,forage_phonologicaldynamicswitch,5.0328206717927255,1.3511620208029942,4.150940343875499,0.6170880366329397,-0.8782455826673128,1.0849121600590625
multimodaldelta_alpha=0.6000000000000001_rise=0.25_fall=0.0,11.364583333333334,3.23432048397427,forage_dynamic,5.210746107345895,1.4106754836034014,4.5382945593119155,0.624918665320991,,
multimodaldelta_alpha=0.6000000000000001_rise=0.25_fall=0.0,11.364583333333334,3.23432048397427,forage_phonologicaldynamicglobal,5.101488284905499,1.364334648436257,5.3272310155270315,1.0183053813386933,-0.12686112237219613,0.09636707802618255
multimodaldelta_alpha=0.6000000000000001_rise=0.25_fall=0.0,11.364583333333334,3.23432048397427,forage_phonologicaldynamiclocal,5.206326531323928,1.4087330862400065,5.275907830780567,1.5987297750764031,-0.12029305103146014,0.29816265981991946
multimodaldelta_alpha=0.6000000000000001_rise=0.25_fall=0.0,11.364583333333334,3.23432048397427,forage_phonologicaldynamicswitch,5.114501908475448,1.3803326043500779,4.540338712075351,0.6236839437994158,-0.4164775584307628,0.7809350226971644
multimodaldelta_alpha=0.6000000000000001_rise=0.25_fall=0.25,10.791666666666666,3.223987782579553,forage_dynamic,5.195196592558048,1.4003877089276884,4.510483829489438,0.6151185678287245,,
multimodaldelta_alpha=0.6000000000000001_rise=0.25_fall=0.25,10.791666666666666,3.223987782579553,forage_phonologicaldynamicglobal,5.083760835189555,1.3521793814580065,5.3142789306474825,1.0081363698706274,-0.13012012952398816,0.09687590122492637
multimodaldelta_alpha=0.6000000000000001_rise=0.25_fall=0.25,10.791666666666666,3.223987782579553,forage_phonologicaldynamiclocal,5.186335294198088,1.3895567520767154,5.217141528652797,1.4952865408275215,-0.12188388839502946,0.3269888541960174
multimodaldelta_alpha=0.6000000000000001_rise=0.25_fall=0.25,10.791666666666666,3.223987782579553,forage_phonologicaldynamicswitch,5.095870612010637,1.3701958759088195,4.512675510137725,0.6139094674763397,-0.46316433723717915,0.8374239457913337
multimodaldelta_alpha=0.6000000000000001_rise=0.25_fall=0.5,9.838541666666666,3.1258288831279972,forage_dynamic,5.169797014086991,1.384539643770763,4.460702704554669,0.6172430170797543,,
multimodaldelta_alpha=0.6000000000000001_rise=0.25_fall=0.5,9.838541666666666,3.1258288831279972,forage_phonologicaldynamicglobal,5.055821937354698,1.3337467706705939,5.276371473529347,1.0021002498484648,-0.1338208455052366,0.09714989661251351
multimodaldelta_alpha=0.6000000000000001_rise=0.25_fall=0.5,9.838541666666666,3.1258288831279972,forage_phonologicaldynamiclocal,5.154581807336124,1.3690713005943607,5.162378988274541,1.4366363099256902,-0.1217968064783259,0.3011628429839034
multimodaldelta_alpha=0.6000000000000001_rise=0.25_fall=0.5,9.838541666666666,3.1258288831279972,forage_phonologicaldynamicswitch,5.071537141763154,1.3530457941417258,4.462799453319186,0.6159318610643018,-0.5731707006326358,0.92607617902973
